Phrasal Verb,Meaning,Example
Give over,Stop doing something annoying (British informal).,GIVE OVER! Your jokes aren't funny anymore.
Give up,Stop trying.,Don't GIVE UP! You're almost there.
Give up on,Stop believing in or supporting.,I've GIVEN UP ON ever winning the lottery.
Gloss over,Treat something superficially.,He GLOSSED OVER the problems in his report.
Go about,Do or deal with.,How should I GO ABOUT solving this problem?
Go after,Pursue.,The company is GOING AFTER a new market segment.
Go against,Oppose or be contrary to.,His decision GOES AGAINST everything we stand for.
Go ahead,Proceed.,GO AHEAD and start without me.
Go along with,Agree to something.,I'll GO ALONG WITH your plan for now.
Go around,Be sufficient.,There isn't enough food to GO AROUND.
Go at,Attack vigorously.,"He WENT AT the problem with determination."
Go away,Leave.,"Please GO AWAY, I want to be alone."
Go back,Return.,"Let's GO BACK to the hotel."
Go back on,Fail to keep (a promise).,"He WENT BACK ON his word."
Go by,Pass (of time).,How time GOES BY!
Go down,Decrease.,Prices have GONE DOWN recently.
Go down,Be accepted or received.,His speech didn't GO DOWN well with the audience.
Go for,Choose or support.,I think I'll GO FOR the chicken dish.
Go in for,Be interested in or take part in.,Do you GO IN FOR any sports?
Go into,Investigate.,The police are GOING INTO the matter.
Go off,Explode.,The bomb WENT OFF at midnight.
Go off,Stop liking.,I've GONE OFF coffee lately.
Go on,Continue.,Please GO ON with your story.
Go out,Stop burning.,The fire WENT OUT.
Go out,Stop functioning.,The lights WENT OUT during the storm.
Go over,Examine or review.,Let's GO OVER the plan one more time.
Go round,Be enough for everyone.,There's enough cake to GO ROUND.
Go through,Experience.,"She's GOING THROUGH a difficult time."
Go through with,"Complete something, despite having doubts.",Are you really GOING THROUGH WITH the wedding?
Go under,Fail (of a business).,Many small businesses WENT UNDER during the recession.
Go up,Increase.,"Taxes are GOING UP next year."
Go with,Choose.,I think I'll GO WITH the blue shirt.
Go without,Manage without having something.,We'll have to GO WITHOUT luxuries for a while.
Gobble up,Eat quickly.,The kids GOBBLED UP all the cookies.
Goof around,Waste time or behave foolishly.,"Stop GOOFING AROUND and get back to work!"
Goof off,"Avoid work, waste time.",He's always GOOFING OFF instead of studying.
Goof up,Make a mistake.,I GOOFED UP and forgot her birthday.
Grass on,Inform on someone (British informal).,He GRASSED ON his friends to the teacher.
Grind out,Produce with difficulty or in large quantities.,He GRINDS OUT a new article every week.
Grow apart,Gradually become less close to someone.,They GREW APART after they started working in different cities.
Grow into,Gradually become big enough to fit.,He'll GROW INTO these clothes eventually.
Grow on,Gradually become more appealing.,The idea is starting to GROW ON me.
Grow out of,Stop doing something as one gets older.,He never GREW OUT OF playing video games.
Grow up,Become an adult.,"When I GROW UP, I want to be a doctor."
Gulp down,Eat or drink quickly.,"He GULPED DOWN his coffee and rushed out."
Gum up,Clog or make sticky.,"The old oil GUMMED UP the engine."
Hack into,Gain unauthorized access to a computer system.,Someone HACKED INTO the company's database.
Ham it up,Overact or exaggerate.,He always HAMS IT UP when he's telling a story.
Hand back,Return.,Please HAND BACK your exam papers.
Hand down,Pass on to someone younger.,The ring has been HANDED DOWN through generations.
Hand in,Submit.,Don't forget to HAND IN your homework tomorrow.
Hand out,Distribute.,The teacher HANDED OUT the test papers.
Hand over,Give control or possession of something to someone else.,"The CEO HANDED OVER control to his successor."
Hang about/around,"Spend time somewhere, often without a clear purpose.",We were just HANGING AROUND the mall.
Hang back,Hesitate to act or speak.,"He HUNG BACK while the others volunteered."
Hang on,Wait a short time.,"HANG ON a minute, I'll be right with you."
Hang out,Spend time relaxing.,We often HANG OUT at the local café.
Hang over,Remain from the past.,The threat of war HUNG OVER the country.
Hang up,End a phone call.,She got angry and HUNG UP on me.
Hanker after/for,Have a strong desire for.,I'm HANKERING AFTER a slice of chocolate cake.
Harp on,Talk about something repeatedly and boringly.,He's always HARPING ON about the good old days.
Hash out,Discuss thoroughly to reach an agreement.,We need to HASH OUT the details of the contract.
Hatch out,Emerge from an egg.,The chicks HATCHED OUT last week.
Haul off,Hit someone.,He HAULED OFF and punched the guy.
Have on,Be wearing.,What did she HAVE ON at the party?
Head for,Go in the direction of.,We're HEADING FOR the city center.
Head off,Leave.,We HEADED OFF early to avoid traffic.
Head up,Be in charge of.,She HEADS UP our marketing department.
Hear of,Know about the existence of.,Have you HEARD OF this new restaurant?
Hear out,Listen to someone's full explanation.,Please HEAR me OUT before you make a decision.
Heat up,Become more intense or exciting.,The competition is really HEATING UP now.
Help out,Assist.,Can you HELP OUT with the dishes?
Hide out,Stay in a secret place.,The fugitive was HIDING OUT in an abandoned building.
Hit on,Flirt with.,He was HITTING ON every girl at the bar.
Hit up,Ask for money or a favor.,He's always HITTING me UP for cash.
Hold back,Restrain.,He HELD BACK his tears at the funeral.
Hold down,Keep (a job).,It's hard to HOLD DOWN two jobs at once.
Hold off,Delay doing something.,"Let's HOLD OFF on making a decision until we have more information."
Hold on,Wait.,"HOLD ON, I'll be with you in a minute."
Hold out,Resist or survive.,"The city HELD OUT against the siege for months."
Hold over,Extend beyond the original time.,"The movie was HELD OVER for another week due to popular demand."
Hold up,Delay.,The meeting was HELD UP by traffic.
Hold up,Rob.,The bank was HELD UP yesterday.
Hook up,Meet or connect with someone.,Let's HOOK UP for coffee next week.
Hound out,Force to leave.,He was HOUNDED OUT of office by the press.
Hunker down,Prepare to stay in a place for a period of time.,We HUNKERED DOWN to wait out the storm.
Hunt down,Search for until found.,The police HUNTED DOWN the escaped prisoner.
Hush up,Keep something secret.,They tried to HUSH UP the scandal.
Ice over,Become covered with ice.,The lake ICED OVER during the cold snap.
Idle away,Spend time doing nothing.,We IDLED AWAY the afternoon in the park.
Iron out,Resolve problems or difficulties.,We need to IRON OUT a few details before signing the contract.
Jack up,Raise (often prices).,The landlord JACKED UP the rent again.
Jam on,Apply suddenly (brakes).,He JAMMED ON the brakes to avoid hitting the dog.
Jerk around,Treat someone unfairly or dishonestly.,Stop JERKING me AROUND and tell me the truth!
Join in,Participate.,Everyone JOINED IN the singing.
Join up,Become a member of the armed forces.,"He JOINED UP right after high school."
Joke around,Jest or kid.,"We were just JOKING AROUND, don't take it seriously."
Jot down,Write quickly.,"Let me JOT DOWN your number."
Jump at,Accept eagerly.,"I JUMPED AT the chance to study abroad."
Jump in,Enter a conversation or activity suddenly.,He JUMPED IN with his opinion before I could finish.
Jump on,Criticize quickly.,The media JUMPED ON the politician for his controversial statement.
Keep at,Continue doing something.,"KEEP AT it, you're making progress!"
Keep away,Stay at a distance.,"KEEP AWAY from the edge of the cliff."
Keep back,Not reveal.,"He KEPT BACK some information from the police."
Keep down,Not vomit.,"I'm feeling sick, but I'm trying to KEEP my lunch DOWN."
Keep from,Prevent oneself from doing something.,"I could hardly KEEP FROM laughing."
Keep in,Make someone stay at school after hours as punishment.,"She was KEPT IN for talking in class."
Keep off,Not walk on.,KEEP OFF the grass.
Keep on,Continue.,He KEPT ON working despite his illness.
Keep out,Not allow to enter.,The sign said 'KEEP OUT'.
Keep to,Follow or adhere to.,"Please KEEP TO the path."
Keep up,Maintain the same speed or standard.,"You walk too fast, I can't KEEP UP!"
Keep up with,Stay level with.,"It's hard to KEEP UP WITH all the new technology."
Kick about/around,Discuss informally.,"We KICKED AROUND some ideas for the project."
Kick back,Relax.,I'm going to KICK BACK and watch TV tonight.
Kick in,Start to take effect.,The painkillers should KICK IN soon.
Kick off,Begin.,The meeting KICKED OFF at 9am sharp.
Kick out,Force to leave.,"He was KICKED OUT of the bar for fighting."
Kid around,Joke.,"Don't take him seriously, he's just KIDDING AROUND."
Kill off,Destroy or get rid of.,"The harsh winter KILLED OFF many plants."
Knock back,Drink quickly.,"He KNOCKED BACK three beers in an hour."
Knock down,Demolish.,They're going to KNOCK DOWN the old factory.
Knock off,Stop working.,Let's KNOCK OFF early today.
Knock out,Make unconscious.,The boxer was KNOCKED OUT in the first round.
Knock together,Make or prepare quickly.,I KNOCKED TOGETHER a quick meal from what I found in the fridge.
Knock up,Wake someone by knocking on their door.,"Can you KNOCK me UP at 7am?"
Know of,Be aware of the existence of.,"I KNOW OF him, but I've never met him."
Lash out,Suddenly attack physically or verbally.,"He LASHED OUT at his critics in the press conference."
Lay down,Establish or announce.,"The boss LAID DOWN the new rules."
Lay in,Store in large quantities.,We LAID IN supplies for the winter.
Lay into,Attack physically or verbally.,He really LAID INTO me for being late.
Lay off,Dismiss from employment.,The company LAID OFF 100 workers.
Lay out,Arrange or display.,She LAID OUT all the documents on the table.
Lay over,Stop temporarily during a journey.,We LAID OVER in Singapore for a day.
Lead on,Deceive.,He LED me ON about his intentions.
Lead to,Result in.,Overeating can LEAD TO health problems.
Lead up to,Happen before and often cause an event.,The events that LED UP TO the war are complex.
Leak out,Become known to the public.,"The news LEAKED OUT before the official announcement."
Lean on,"Depend on for support.","Don't LEAN ON me, I have my own problems."
Lean towards,Be inclined to choose.,"I'm LEANING TOWARDS the red car."
Leap at,Accept eagerly.,"She LEAPED AT the chance to study abroad."
Leave behind,Forget to take.,I LEFT my umbrella BEHIND at the restaurant.
Leave off,Stop.,Let's LEAVE OFF here and continue tomorrow.
Leave out,Omit.,Don't LEAVE anyone OUT when you're handing out invitations.
Let down,Disappoint.,He really LET me DOWN when he didn't show up.
Let in,Allow to enter.,Can you LET the cat IN?
Let in on,Share a secret with.,I'll LET you IN ON a secret.
Let off,Not punish.,The judge LET him OFF with a warning.
Let on,Reveal information.,Don't LET ON that you know about the surprise party.
Let out,Allow to leave.,The students were LET OUT early.
Let up,Become less intense.,The rain finally LET UP in the afternoon.
Level off,Stop increasing.,Inflation has LEVELED OFF at about 2%.
Level with,Be honest with.,I'm going to LEVEL WITH you - the situation is serious.
Lick into shape,Improve by making a lot of changes.,The new manager LICKED the team INTO SHAPE.
Lie around,Be very lazy.,He just LIES AROUND all day watching TV.
Lift off,Leave the ground and start flying.,The rocket LIFTED OFF at 3pm.
Light up,Become bright with happiness.,Her face LIT UP when she saw her gift.
Lighten up,Become or make less serious.,LIGHTEN UP! It was just a joke.
Line up,Arrange in a line or row.,The children LINED UP for lunch.
Line up,Arrange for something to happen.,I've LINED UP a job interview for next week.
Link up,Connect or meet.,The two armies LINKED UP near the river.
Live down,Overcome embarrassment caused by.,He'll never LIVE DOWN that mistake.
Live off,"Depend on someone else for food, money, etc.",He's been LIVING OFF his parents since he lost his job.
Live out,Live or exist until the end of.,She LIVED OUT her final years in a nursing home.
Live up to,Meet expectations.,The movie didn't LIVE UP TO the hype.
Live with,Accept or tolerate.,I can LIVE WITH that decision.
Liven up,Make more exciting.,Let's LIVEN UP this party with some music.
Lock away,Put in a safe place.,He LOCKED AWAY the valuable documents.
Lock in,Secure at a fixed level.,We LOCKED IN the interest rate on our mortgage.
Lock out,Prevent from entering.,The workers were LOCKED OUT during the strike.
Lock up,Secure a building.,Don't forget to LOCK UP when you leave.
Log in/on,Enter a computer system.,You need to LOG IN to access your emails.
Log off/out,Exit a computer system.,Always LOG OFF when you're finished using a public computer.
Look after,Take care of.,Can you LOOK AFTER my cat while I'm away?
Look ahead,Think about or plan for the future.,We need to LOOK AHEAD and prepare for retirement.
Look around,Explore a place.,We LOOKED AROUND the museum for a couple of hours.
Look at,Examine or consider.,"Let's LOOK AT the problem from a different angle."
Look back,Think about the past.,"When I LOOK BACK, I realize how much I've learned."
Look down on,Consider someone inferior.,"He LOOKS DOWN ON people who didn't go to university."
Look for,Search for.,"I'm LOOKING FOR my keys. Have you seen them?"
Look forward to,Anticipate with pleasure.,I'm LOOKING FORWARD TO the weekend.
Look in on,Visit briefly.,I'll LOOK IN ON my grandmother on my way home.
Look into,Investigate.,The police are LOOKING INTO the matter.
Look on,Watch without getting involved.,The crowd LOOKED ON as the accident happened.
Look out,Be careful.,LOOK OUT! There's a car coming!
Look over,Examine.,Can you LOOK OVER this report for me?
Look through,Examine quickly.,I LOOKED THROUGH the magazine while waiting.
Look to,Rely on.,We LOOK TO you for leadership.
Look up,Search for information.,I had to LOOK UP the word in a dictionary.
Look up to,Admire.,I've always LOOKED UP TO my older sister.
Loosen up,Relax.,You need to LOOSEN UP and enjoy yourself more.
Lose out,Be disadvantaged.,He LOST OUT on the promotion to someone with more experience.
Luck into,Get something by chance.,She LUCKED INTO a great job right out of college.
Luck out,Be very lucky.,We LUCKED OUT and got the last two tickets.
Make after,Chase.,The dog MADE AFTER the cat.
Make away with,Steal.,The thieves MADE AWAY WITH thousands of dollars.
Make do,Manage with what is available.,We'll have to MAKE DO with what we have.
Make for,Go in the direction of.,"Let's MAKE FOR the nearest shelter."
Make of,Understand or interpret.,"What do you MAKE OF this situation?"
Make off,Leave hurriedly.,"The burglars MADE OFF with the jewelry."
Make out,"See, hear, or understand with difficulty.",I can't MAKE OUT what that sign says.
Make over,Transfer the possession of.,"He MADE OVER all his property to his children."
Make up,Invent a story or lie.,"Don't believe him, he's MAKING it all UP."
Make up,Become friends again after an argument.,"They had a big fight but MADE UP the next day."
Make up for,Compensate for.,"He tried to MAKE UP FOR his mistake by working overtime."
Map out,Plan in detail.,We need to MAP OUT our strategy for the coming year.
Mark down,Reduce the price.,They MARKED DOWN all the summer clothes.
Mark out,Make a boundary.,The referee MARKED OUT the playing area.
Mark up,Increase the price.,They MARKED UP the prices before the sale.
Marry into,Become a member of a family or social group by marriage.,"She MARRIED INTO a wealthy family."
Marry off,Arrange a marriage for someone.,"In some cultures, parents still try to MARRY OFF their children."
Mash up,Mix or blend together.,"The DJ MASHED UP two popular songs."
Max out,Reach the limit.,"I've MAXED OUT my credit card."
Measure off,Measure and separate.,He MEASURED OFF two meters of fabric.
Measure out,Measure an exact amount.,She carefully MEASURED OUT the ingredients for the cake.
Measure up,Be good enough.,Does the new employee MEASURE UP to our standards?
Meet up,Come together.,Let's MEET UP for coffee next week.
Melt down,Melt metal to recycle it.,They MELTED DOWN the old coins to make new ones.
Mess about/around,Waste time.,Stop MESSING AROUND and get to work!
Mess up,Make a mistake; ruin.,I really MESSED UP on that test.
Mess with,Interfere with.,Don't MESS WITH my computer settings.
Miss out,Fail to take advantage of an opportunity.,I MISSED OUT on the concert because I didn't buy tickets in time.
Miss out on,Not experience something positive.,I don't want to MISS OUT ON the party.
Mix up,Confuse.,I always MIX UP the twins' names.
Monkey around,Behave in a silly or playful way.,Stop MONKEYING AROUND and help me with this.
Mop up,Clean a liquid that has been spilled.,Can you MOP UP that spilled coffee?
Mope around,Be unhappy and listless.,He's been MOPING AROUND ever since his girlfriend left him.
Move in,Start living in a new home.,"When are you MOVING IN to your new apartment?"
Move on,Leave a place and go somewhere else.,"It's getting late, we should MOVE ON."
Move out,Leave a place where you have been living.,"I'm MOVING OUT of my parents' house next month."
Muck about/around,Waste time.,"Stop MUCKING AROUND and get to work!"
Muck in,Help with a task.,Everyone MUCKED IN to clean up after the party.
Muck up,Spoil or ruin something.,I really MUCKED UP my chances of getting that job.
Muddle through,Manage despite difficulties.,We'll MUDDLE THROUGH somehow.
Mug up,Study intensively.,I need to MUG UP on my French before the trip.
Mull over,Think about carefully.,I'll MULL it OVER and give you my decision tomorrow.
Muscle in,Become involved in a situation where you're not wanted.,He tried to MUSCLE IN on our business deal.
Naff off,Go away (British slang).,NAFF OFF! I don't want to talk to you.
Nag at,Criticize and complain constantly.,She's always NAGGING AT him about his bad habits.
Nail down,Finalize or make certain.,We need to NAIL DOWN the details of the contract.
Name after,Give someone or something the same name as.,They NAMED their son AFTER his grandfather.
Nerd out,Become extremely excited about a niche subject.,He really NERDS OUT when it comes to comic books.
Nibble at,Eat in small amounts.,"She NIBBLED AT her food, not feeling very hungry."
Nick off,"Leave quickly (Australian slang).","I'm going to NICK OFF early today."
Nip off,Leave quickly.,"I'm just going to NIP OFF to the shop."
Nod off,Fall asleep.,"I NODDED OFF during the boring lecture."
Nose around,Investigate or explore.,He was NOSING AROUND in my desk drawers.
Note down,Write a short note.,Let me NOTE DOWN your phone number.
Nut out,Solve a problem through hard thinking.,We need to NUT OUT a solution to this issue.
Occur to,Come into one's mind.,It OCCURRED TO me that we might be late.
Offer up,Present for consideration or action.,The committee OFFERED UP several solutions to the problem.
Open up,Become more communicative.,He finally OPENED UP about his feelings.
Opt for,Choose.,I think I'll OPT FOR the vegetarian option.
Opt in,Choose to be included in something.,You need to OPT IN to receive our newsletter.
Opt out,Choose not to participate.,You can OPT OUT of the insurance plan if you wish.
Order about/around,Give orders in a domineering way.,I don't like the way he ORDERS everyone ABOUT.
Owe to,Be indebted to someone for something.,I OWE my success TO my parents' support.
Own up,Admit or confess.,He finally OWNED UP to breaking the window.
Pack away,Put things away for storage.,We PACKED AWAY the Christmas decorations.
Pack in,Stop doing something.,He PACKED IN his job and went traveling.
Pack off,Send someone away.,They PACKED the kids OFF to summer camp.
Pack out,Fill a venue completely.,The concert was PACKED OUT.
Pack up,Finish or stop doing something.,"Let's PACK UP and go home."
Pad out,"Make longer or larger, often unnecessarily.",He PADDED OUT his essay with irrelevant information.
Pair off,Form couples.,The students PAIRED OFF for the dance lesson.
Pal around,Spend time with friends.,We used to PAL AROUND in college.
Palm off,Get rid of by deception.,He tried to PALM OFF the fake watch as a genuine one.
Pan out,Turn out or develop in a particular way.,Let's see how things PAN OUT.
Paper over,Cover up or gloss over problems.,They tried to PAPER OVER their differences for the sake of the children.
Part with,Give up possession of something.,He was reluctant to PART WITH his old car.
Pass away,Die.,His grandmother PASSED AWAY last night.
Pass by,Go past without stopping.,We PASSED BY the museum on our way to the park.
Pass for,Be accepted as or believed to be.,He could PASS FOR a native speaker with his excellent accent.
Pass off,Pretend something is something else.,He tried to PASS OFF the forgery as an original.
Pass on,Transmit or communicate.,Please PASS ON my regards to your family.
Pass out,Faint or lose consciousness.,He PASSED OUT from the heat.
Pass over,Ignore or disregard.,They PASSED OVER her application without even reading it.
Pass up,Decline an opportunity.,I couldn't PASS UP the chance to travel abroad.
Pat down,Search someone by running your hands over their body.,The security guard PATTED DOWN all visitors to the concert.
Pave the way,Make something possible or easier.,The new technology PAVED THE WAY for rapid advancements in medicine.
Pay back,Return borrowed money.,I'll PAY you BACK next week.
Pay for,Suffer the consequences of.,He had to PAY FOR his mistakes.
Pay off,Produce good results.,All her hard work finally PAID OFF when she got the promotion.
Peel off,Leave a group.,A few protesters PEELED OFF from the main crowd.
Peg out,Die (informal).,The old dog finally PEGGED OUT last night.
Pencil in,Make a provisional arrangement.,"I've PENCILED you IN for 2pm, but I might need to change it."
Perk up,Become more cheerful or lively.,"She PERKED UP when she heard the good news."
Phase in,Introduce gradually.,"The new system will be PHASED IN over the next six months."
Phase out,Gradually stop using or providing.,They're PHASING OUT the old textbooks.
Pick at,Eat food without enthusiasm.,She wasn't hungry and just PICKED AT her food.
Pick off,Shoot one by one.,The sniper PICKED OFF the enemy soldiers one by one.
Pick on,Treat someone unfairly or unkindly.,Stop PICKING ON your little brother!
Pick out,Choose.,Can you PICK OUT a nice tie for me?
Pick up,Collect someone or something.,I'll PICK you UP at 8.
Pick up,Learn quickly and easily.,She PICKED UP French very quickly.
Pick up on,Notice.,Did you PICK UP ON his sarcastic tone?
Pile on,Add more.,Don't PILE ON too much work; I'm already busy.
Pile up,Accumulate.,"The bills are PILING UP and I don't know how to pay them."
Pin down,Define or determine precisely.,"I can't PIN DOWN exactly what's wrong, but something doesn't feel right."
Pin on,Blame someone for something.,"They tried to PIN the crime ON an innocent man."
Pipe down,Be quiet.,"PIPE DOWN! I'm trying to concentrate."
Pipe up,"Speak up, especially unexpectedly.",A small voice PIPED UP from the back of the classroom.
Pitch in,Help or contribute.,"Everyone PITCHED IN to clean up after the party."
Play along,Pretend to cooperate.,"I decided to PLAY ALONG with his joke."
Play around,Behave in a silly or frivolous way.,Stop PLAYING AROUND and get to work!
Play at,Pretend to do something without serious intent.,He's just PLAYING AT being a businessman.
Play down,Minimize the importance of something.,The company tried to PLAY DOWN the seriousness of the data breach.
Play on,Take advantage of someone's weakness.,The advertisement PLAYS ON people's insecurities.
Play up,Emphasize or exaggerate.,The media PLAYED UP the scandal.
Play up to,Try to please someone.,He's always PLAYING UP TO the boss.
Plough on,Continue steadily despite difficulties.,"Despite the setbacks, we decided to PLOUGH ON with the project."
Plough through,Work through something difficult or dull.,"I had to PLOUGH THROUGH a stack of paperwork."
Plug away,Work persistently.,"He's been PLUGGING AWAY at that novel for years."
Plug in,Connect an electrical device.,"Don't forget to PLUG IN your phone to charge."
Plump for,Choose.,"After much deliberation, I PLUMPED FOR the red car."
Point out,Draw attention to.,"She POINTED OUT my mistake."
Polish off,"Finish quickly, especially food or drink.","He POLISHED OFF the entire pizza by himself."
Polish up,Improve or refine.,"I need to POLISH UP my French before the trip."
Pop in,Visit briefly and informally.,"I thought I'd POP IN and see how you're doing."
Pop off,Die (informal).,The old man POPPED OFF in his sleep.
Pop up,Appear suddenly or unexpectedly.,"A new problem POPPED UP just when we thought we were finished."
Pore over,Study or read carefully.,"She PORED OVER the contract, looking for any hidden clauses."
Pour out,Express freely and copiously.,"She POURED OUT her troubles to her best friend."
Power down,Turn off (a computer or electronic device).,"Remember to POWER DOWN your computer before you leave."
Power up,Turn on (a computer or electronic device).,POWER UP your phones and we'll start the app demonstration.
Press ahead,Continue with a plan despite difficulties.,"Despite the opposition, the government PRESSED AHEAD with the new law."
Press on,Continue in a determined way.,"It was getting dark, but we PRESSED ON to reach the summit."
Prop up,Support or sustain.,"The failing company was PROPPED UP by government subsidies."
Pull ahead,Move in front.,"Our team PULLED AHEAD in the last few minutes of the game."
Pull apart,Separate or dismantle.,The mechanic PULLED APART the engine to find the problem.
Pull away,Start to move or leave.,The train PULLED AWAY from the station.
Pull back,Retreat or withdraw.,The army PULLED BACK to a more defensible position.
Pull down,Demolish.,They're going to PULL DOWN the old factory to build apartments.
Pull for,Support or encourage.,We're all PULLING FOR you to win the competition.
Pull in,Arrive (usually of trains).,The train PULLED IN to the station.
Pull off,Succeed in doing something difficult.,I can't believe we PULLED OFF such a complex project.
Pull out,Leave or withdraw.,The company PULLED OUT of the deal at the last minute.
Pull over,Move to the side of the road.,"The police officer signaled for the driver to PULL OVER."
Pull through,Survive a difficult situation.,"The doctor thinks he'll PULL THROUGH, but it was a close call."
Pull up,Stop (a vehicle).,"He PULLED UP outside my house and honked the horn."
Pump out,Produce large quantities quickly.,"The factory PUMPS OUT thousands of cars each month."
Pump up,Increase or inflate.,They PUMPED UP the volume for the last song.
Push ahead,Proceed forcefully.,We need to PUSH AHEAD with the project to meet the deadline.
Push around,Treat roughly or unfairly.,Don't let them PUSH you AROUND at work.
Push for,Campaign or argue in favor of.,The union is PUSHING FOR better working conditions.
Push off,Leave (often used as a rude way of telling someone to go away).,"PUSH OFF! I don't want to talk to you."
Push on,Continue despite difficulties.,"It was getting late, but we decided to PUSH ON to the next town."
Push through,Force passage or acceptance of something.,"The government PUSHED THROUGH the controversial legislation."
Put across,Communicate or express clearly.,"He PUTS his ideas ACROSS very well."
Put aside,Save for future use.,We try to PUT some money ASIDE each month.
Put away,Place something where it is usually kept.,Please PUT your toys AWAY when you're done playing.
Put back,Return something to its original place.,PUT the book BACK on the shelf when you're finished.
Put down,Insult or criticize.,He's always PUTTING DOWN his colleagues.
Put down to,Attribute to.,I PUT his bad mood DOWN TO lack of sleep.
Put forward,Propose.,She PUT FORWARD a good argument for changing the policy.
Put in,Install.,We're PUTTING IN a new heating system next week.
Put off,Postpone.,We'll have to PUT OFF the meeting until next week.
Put on,Gain weight.,I've PUT ON a few pounds over the holidays.
Put out,Extinguish.,"The firefighters quickly PUT OUT the blaze."
Put through,Connect by phone.,"Could you PUT me THROUGH to the manager, please?"
Put up,Provide accommodation.,"We can PUT you UP for the night if you need a place to stay."
Put up with,Tolerate.,"I can't PUT UP WITH this noise anymore!"
Quarrel over,Argue about something.,The siblings QUARRELED OVER who would inherit the family business.
Queue up,Line up.,People QUEUED UP for hours to buy tickets.
Quieten down,Become quieter.,The children QUIETENED DOWN when the teacher entered the room.
Quit on,"Abandon or desert.","Don't QUIT ON me now, we're almost finished!"
Quiz out,Be eliminated from a quiz by answering incorrectly.,He QUIZZED OUT on the third question.
Race against,Compete against (often used with time).,We're RACING AGAINST the clock to finish the project.
Rack up,Accumulate.,He RACKED UP huge debts with his gambling habit.
Rage against,Express angry opposition to something.,He RAGED AGAINST the injustice of the system.
Rail against,Protest strongly.,The workers RAILED AGAINST the new company policies.
Rain off,Cancel due to rain (usually for outdoor events).,The picnic was RAINED OFF.
Rake in,Earn a lot of money quickly.,The company is RAKING IN huge profits with their new product.
Rake over,Discuss or investigate past events.,Let's not RAKE OVER old arguments.
Ramp up,Increase.,The company is RAMPING UP production to meet demand.
Rat on,Inform on or betray.,He RATTED ON his friends to save himself.
Rattle off,Say or recite quickly.,She RATTLED OFF a list of reasons why she couldn't attend.
Rattle on,Talk continuously.,He RATTLED ON about his holiday for hours.
Reach out,Make contact with.,I'll REACH OUT to the client and set up a meeting.
Read out,Read aloud.,The teacher READ OUT the names of the successful candidates.
Read up on,Study or research a topic.,I need to READ UP ON the company before my interview.
Reason out,Solve by logical thinking.,Let's try to REASON OUT this problem together.
Reckon on,Expect or anticipate.,I hadn't RECKONED ON so many people showing up.
Reckon with,Take into account or deal with.,You'll have to RECKON WITH his stubborn nature.
Reel in,Gradually obtain or achieve.,The salesman slowly REELED IN the reluctant customer.
Reel off,Recite a list quickly from memory.,He REELED OFF the names of all 50 states.
Rein in,Control or restrain.,The government is trying to REIN IN inflation.
Rely on,Depend on.,I'm RELYING ON you to get this done on time.
Remind of,Cause to remember.,This song REMINDS me OF my childhood.
Rent out,Let someone use property in exchange for payment.,We RENT OUT our spare room to students.
Report back,Give information about something you have been doing.,Please REPORT BACK to me after the meeting.
Ride out,Survive something difficult.,We'll have to RIDE OUT this economic downturn.
Rig up,Assemble or arrange hastily.,We RIGGED UP a makeshift shelter using branches and leaves.
Ring back,"Call someone again.",I'll RING you BACK when I have more information.
Ring off,"End a telephone conversation.","I have to RING OFF now, I'm expecting another call."
Ring out,Sound loudly.,The church bells RANG OUT across the village.
Ring up,Call on the telephone.,I'll RING you UP later this evening.
Rip off,Cheat or overcharge.,That tourist shop RIPPED me OFF!
Rip up,Tear into pieces.,He RIPPED UP the letter in anger.
Rise above,Not be affected by something negative.,You need to RISE ABOVE petty office politics.
Roll back,Reduce prices or regulations to a previous level.,The government plans to ROLL BACK some of the recent tax increases.
Roll in,Arrive in large numbers or amounts.,The profits are ROLLING IN now that the new product has launched.
Roll out,Introduce a new product or service.,The company is ROLLING OUT its new smartphone next month.
Roll up,Arrive.,We ROLLED UP at the party around midnight.
Root around,Search unsystematically.,I was ROOTING AROUND in the attic and found some old photos.
Root for,Support or encourage.,We're all ROOTING FOR you to win the race.
Root out,Find and get rid of.,The new manager is determined to ROOT OUT corruption in the company.
Rope in,Persuade someone to help.,I ROPED IN a few friends to help with the move.
Rough out,Produce a basic version of something.,I've ROUGHED OUT a plan for the project.
Round off,Complete or finish.,Let's ROUND OFF the meeting with any questions.
Round on,Suddenly attack or criticize.,The politician ROUNDED ON his critics during the press conference.
Round up,Gather or collect.,The police ROUNDED UP the usual suspects.
Rub off,Be passed on through close contact.,His enthusiasm RUBBED OFF ON the rest of the team.
Rub out,Erase.,Please RUB OUT that mistake and write the correct answer.
Rule out,Exclude from consideration.,We can't RULE OUT the possibility of foul play.
Run across,Meet or find by chance.,I RAN ACROSS an old friend at the supermarket.
Run after,Chase.,The dog RAN AFTER the cat.
Run against,Compete against in an election.,He's RUNNING AGAINST the incumbent mayor.
Run around,Be very busy doing many things.,I've been RUNNING AROUND all day trying to get everything done.
Run away,Escape by running.,The thief RAN AWAY when he heard the police siren.
Run down,Criticize.,He's always RUNNING DOWN his colleagues.
Run for,Be a candidate for a position.,She's RUNNING FOR class president.
Run into,Meet by chance.,I RAN INTO my old teacher at the mall.
